DAG
attr0 has 2 parent(s): {output, GlobalHidden_0}
attr1 has 2 parent(s): {output, GlobalHidden_0}
attr2 has 2 parent(s): {output, GlobalHidden_0}
attr3 has 2 parent(s): {output, GlobalHidden_0}
attr4 has 2 parent(s): {output, GlobalHidden_0}
attr5 has 2 parent(s): {output, GlobalHidden_0}
attr6 has 2 parent(s): {output, GlobalHidden_0}
attr7 has 2 parent(s): {output, GlobalHidden_0}
attr8 has 2 parent(s): {output, GlobalHidden_0}
attr9 has 2 parent(s): {output, GlobalHidden_0}
output has 0 parent(s): {}
GlobalHidden_0 has 0 parent(s): {}

Sample	GlobalHidden_0	 Accuracy
100	-16.808229295656087	0.53
200	-17.133339059424493	0.85
300	-17.16247905808087	0.82
400	-18.34384502659969	0.89
500	-17.551214742125374	0.89
600	-17.332388591469215	0.9
700	-17.276807016873207	0.9
800	-17.606730583546867	0.94
900	-18.15214135008789	0.94
1000	-17.601440175000903	0.89
1100	-17.911870175223786	0.92
1200	-18.117446478673397	0.86
1300	-17.971760435797986	0.88
1400	-17.749778680174966	0.9
1500	-18.00541126333574	0.89
1600	-17.9341113357152	0.92
1700	-17.776518043939205	0.88
1800	-18.480586230716955	0.91
1900	-18.348681481757566	0.88
2000	-18.603734570085024	0.93
2100	-19.306460178724503	0.86
2200	-18.62489009363378	0.88
2300	-18.736014400075312	0.93
2400	-18.22110484565414	0.93
2500	-18.152953442713272	0.9
2600	-18.030845460001554	0.9
2700	-18.34752944902704	0.93
2800	-18.30269340965615	0.91
2900	-18.251032033751418	0.89
3000	-18.78874868722385	0.9
3100	-18.719480388273027	0.91
3200	-17.73302647332368	0.92
3300	-17.891420817840565	0.89
3400	-18.340200150886538	0.9
3500	-19.12455098946714	0.91
3600	-18.31977934796837	0.88
3700	-18.244961398707343	0.91
3800	-18.518744315845044	0.9
3900	-18.48698890869662	0.9
4000	-18.58327246652317	0.93
4100	-18.75780006014444	0.92
4200	-18.258829188391807	0.86
4300	-17.877516901212342	0.91
4400	-18.810673682355127	0.93
4500	-17.487281061233684	0.94
4600	-18.209463152351663	0.84
4700	-18.516316971110644	0.89
4800	-17.834066204803687	0.91
4900	-18.789115928324193	0.9
5000	-18.786502986493367	0.9
5100	-18.339678428333542	0.85
5200	-17.949329076811313	0.92
5300	-19.079344808884404	0.92
5400	-18.9705290275148	0.9
5500	-18.70218450067336	0.92
5600	-18.70653222237844	0.89
5700	-18.983489613787004	0.9
5800	-18.642524684684243	0.97
5900	-18.763504004346608	0.89
6000	-18.330100841567955	0.86
6100	-18.715556262486086	0.91
6200	-18.313823383086717	0.84
6300	-18.455694785802464	0.91
6400	-18.88362842694313	0.97
6500	-18.96050307493084	0.88
6600	-18.793524923222485	0.89
6700	-18.237391703537835	0.93
6800	-18.41640345061496	0.9
6900	-18.656665174846882	0.9
7000	-18.744581735712902	0.91
7100	-18.229790579858793	0.91
7200	-19.019945628404095	0.95
7300	-18.03542186769675	0.88
7400	-18.602353014794723	0.92
7500	-18.820978716185515	0.88
7600	-19.01441592180026	0.95
7700	-19.276639868814296	0.94
7800	-18.072038205704576	0.92
7900	-18.828829706146447	0.89
8000	-18.859320098557344	0.94
8100	-18.4030904991251	0.9
8200	-19.028114476388286	0.84
8300	-18.192878590018548	0.91
8400	-18.29535999826642	0.95
8500	-18.609477860853957	0.93
8600	-18.832808240292174	0.89
8700	-19.077345619823728	0.89
8800	-18.71019930692281	0.88
8900	-18.651106686963196	0.92
9000	-19.094646383751634	0.91
9100	-18.353766866453256	0.93
9200	-18.250919789807764	0.89
9300	-19.122298970875104	0.89
9400	-18.48875392902669	0.91
9500	-19.18144124470564	0.91
9600	-19.12515350679327	0.93
9700	-18.82748986097233	0.9
9800	-18.558381747475963	0.93
9900	-18.536231048155496	0.89
10000	-18.848206091087338	0.89
0.8903960396039604
