DAG
attr0 has 2 parent(s): {output, GlobalHidden_0}
attr1 has 2 parent(s): {output, GlobalHidden_0}
attr2 has 2 parent(s): {output, GlobalHidden_0}
attr3 has 2 parent(s): {output, GlobalHidden_0}
attr4 has 2 parent(s): {output, GlobalHidden_0}
attr5 has 2 parent(s): {output, GlobalHidden_0}
attr6 has 2 parent(s): {output, GlobalHidden_0}
attr7 has 2 parent(s): {output, GlobalHidden_0}
attr8 has 2 parent(s): {output, GlobalHidden_0}
attr9 has 2 parent(s): {output, GlobalHidden_0}
output has 0 parent(s): {}
GlobalHidden_0 has 0 parent(s): {}

Sample	GlobalHidden_0	 Accuracy
100	-16.81005021577997	0.44
200	-16.94939386113932	0.87
300	-17.025911825004457	0.76
400	-16.635713047827174	0.86
500	-17.151096413338895	0.93
600	-16.93297352497861	0.88
700	-17.37999499636688	0.89
800	-17.677373281130535	0.8
900	-17.610072193333544	0.91
1000	-18.2519279448002	0.9
1100	-17.606468378678994	0.87
1200	-16.744181161267623	0.84
1300	-18.11766072060526	0.87
1400	-17.941741192173904	0.89
1500	-16.80850647257021	0.8
1600	-18.66751540496912	0.88
1700	-18.480782635151126	0.89
1800	-19.039301030223573	0.94
1900	-17.934819159161403	0.85
2000	-17.784591304307256	0.88
2100	-17.647126985675055	0.85
2200	-18.406487283686463	0.91
2300	-18.23742326599317	0.9
2400	-17.562334176364025	0.88
2500	-18.630148155847014	0.93
2600	-18.30599659382303	0.91
2700	-18.60323544342706	0.82
2800	-17.67679874558701	0.83
2900	-18.30091838578741	0.91
3000	-18.156156394579565	0.91
3100	-18.0972639953715	0.93
3200	-18.326253078772982	0.88
3300	-17.831604848805416	0.87
3400	-18.378824446285414	0.91
3500	-17.822402619661904	0.87
3600	-17.340052809255294	0.93
3700	-18.94865537138945	0.9
3800	-17.504373712684053	0.91
3900	-18.561477433614492	0.85
4000	-18.468126794407564	0.89
4100	-17.697672735603508	0.85
4200	-18.288017461255023	0.87
4300	-19.238964512496445	0.88
4400	-18.5540436462858	0.9
4500	-17.575567545307994	0.93
4600	-18.248396151659044	0.86
4700	-18.442054860536686	0.92
4800	-18.495785777264498	0.89
4900	-18.38110553926501	0.9
5000	-18.33045698828589	0.94
5100	-19.189045537193312	0.92
5200	-18.108994043325662	0.87
5300	-18.00157036114012	0.88
5400	-19.026273036914198	0.89
5500	-18.512364438147856	0.88
5600	-18.58105222890554	0.92
5700	-18.423184232483614	0.91
5800	-18.50535463768255	0.87
5900	-18.417724475584983	0.91
6000	-18.470478276253097	0.96
6100	-19.15034709989932	0.86
6200	-18.107881849749237	0.89
6300	-18.982236374365495	0.9
6400	-18.93588372191213	0.89
6500	-19.08714770498518	0.86
6600	-18.43305987226775	0.92
6700	-17.975931810629895	0.86
6800	-18.222862008220723	0.9
6900	-19.17884752140441	0.95
7000	-18.5125452797184	0.94
7100	-17.886696606428774	0.88
7200	-17.52867399929922	0.79
7300	-18.792830687603466	0.94
7400	-18.970171638160174	0.89
7500	-18.567364434632506	0.94
7600	-18.92866411058198	0.94
7700	-18.811281539587497	0.9
7800	-18.511795153659424	0.92
7900	-18.324439447045684	0.89
8000	-19.350100214115148	0.94
8100	-18.304340920565483	0.91
8200	-18.799747230540586	0.95
8300	-18.655123485329565	0.88
8400	-18.462381877941446	0.98
8500	-18.099977881146366	0.93
8600	-19.20662994261709	0.92
8700	-18.995303278415502	0.88
8800	-19.133359286594295	0.94
8900	-18.507795611433178	0.89
9000	-18.099481100836364	0.86
9100	-19.1822076221012	0.92
9200	-18.361642225038725	0.92
9300	-18.504599920801557	0.89
9400	-19.126162959640123	0.91
9500	-18.74507829009388	0.93
9600	-18.387592599080932	0.89
9700	-18.71622084195579	0.91
9800	-18.201258972415626	0.93
9900	-18.852326645992793	0.94
10000	-19.168134470192598	0.91
0.880990099009901
