DAG
at1 has 1 parent(s): {cl}
at2 has 1 parent(s): {cl}
at3 has 1 parent(s): {cl}
cl has 0 parent(s): {}
GlobalHidden_0 has 0 parent(s): {}

Sample	GlobalHidden_0	 Accuracy
1000	12.384787706559077	0.336
2000	12.384787706559077	0.866
3000	12.384787706559077	0.872
4000	12.384787706559077	0.874
5000	12.384787706559077	0.874
6000	12.384787706559077	0.876
7000	12.384787706559077	0.882
8000	12.384787706559077	0.863
9000	12.384787706559077	0.885
10000	12.384787706559077	0.871
11000	12.384787706559077	0.865
12000	12.384787706559077	0.875
13000	12.384787706559077	0.864
14000	12.384787706559077	0.871
15000	12.384787706559077	0.879
16000	12.384787706559077	0.828
17000	12.384787706559077	0.809
18000	12.384787706559077	0.844
19000	12.384787706559077	0.824
20000	12.384787706559077	0.812
21000	12.384787706559077	0.835
22000	12.384787706559077	0.835
23000	12.384787706559077	0.837
24000	12.384787706559077	0.84
25000	12.384787706559077	0.836
26000	12.384787706559077	0.843
27000	12.384787706559077	0.826
28000	12.384787706559077	0.844
29000	12.384787706559077	0.83
30000	12.384787706559077	0.85
31000	12.384787706559077	0.818
32000	12.384787706559077	0.816
33000	12.384787706559077	0.854
34000	12.384787706559077	0.824
35000	12.384787706559077	0.811
36000	12.384787706559077	0.837
37000	12.384787706559077	0.846
38000	12.384787706559077	0.842
39000	12.384787706559077	0.835
40000	12.384787706559077	0.837
41000	12.384787706559077	0.832
42000	12.384787706559077	0.865
43000	12.384787706559077	0.848
44000	12.384787706559077	0.85
45000	12.384787706559077	0.863
46000	12.384787706559077	0.813
47000	12.384787706559077	0.808
48000	12.384787706559077	0.837
49000	12.384787706559077	0.805
50000	12.384787706559077	0.839
51000	12.384787706559077	0.844
52000	12.384787706559077	0.838
53000	12.384787706559077	0.839
54000	12.384787706559077	0.831
55000	12.384787706559077	0.844
56000	12.384787706559077	0.824
57000	12.384787706559077	0.839
58000	12.384787706559077	0.834
59000	12.384787706559077	0.84
60000	12.384787706559077	0.83
0.8211311475409838
