DAG
attr0 has 2 parent(s): {output, GlobalHidden_0}
attr1 has 2 parent(s): {output, GlobalHidden_0}
attr2 has 2 parent(s): {output, GlobalHidden_0}
attr3 has 2 parent(s): {output, GlobalHidden_0}
attr4 has 2 parent(s): {output, GlobalHidden_0}
attr5 has 2 parent(s): {output, GlobalHidden_0}
attr6 has 2 parent(s): {output, GlobalHidden_0}
attr7 has 2 parent(s): {output, GlobalHidden_0}
attr8 has 2 parent(s): {output, GlobalHidden_0}
attr9 has 2 parent(s): {output, GlobalHidden_0}
output has 0 parent(s): {}
GlobalHidden_0 has 0 parent(s): {}

Sample	GlobalHidden_0	 Accuracy
100	-16.809248089987378	0.5
200	-16.991825679037348	0.79
300	-17.196676266768602	0.86
400	-17.18107012977657	0.88
500	-17.695184877333347	0.9
600	-17.3292956305098	0.92
700	-18.203234803951286	0.82
800	-17.892640438968947	0.81
900	-17.342848303472326	0.86
1000	-17.192674024621876	0.89
1100	-18.218387240348832	0.89
1200	-18.09821184935477	0.87
1300	-18.069103518557203	0.88
1400	-17.417100300678495	0.9
1500	-17.26168350247366	0.88
1600	-17.868386175866036	0.9
1700	-17.6693653596105	0.93
1800	-17.27099602583337	0.92
1900	-17.8940205092331	0.94
2000	-17.38218612430293	0.9
2100	-18.477401846031565	0.9
2200	-17.693993402634593	0.89
2300	-17.64121415915812	0.91
2400	-17.40515842707162	0.87
2500	-18.515729056194868	0.93
2600	-18.473339885177793	0.79
2700	-18.178281605608053	0.87
2800	-17.844238416775703	0.87
2900	-18.233654133402013	0.89
3000	-17.920342016702655	0.87
3100	-18.280787974541447	0.91
3200	-18.009408620656043	0.89
3300	-17.65812764810885	0.91
3400	-18.345799638516823	0.89
3500	-17.864505273369478	0.82
3600	-18.219473910826256	0.89
3700	-17.981626890625183	0.91
3800	-18.094363560854433	0.91
3900	-18.60410683669512	0.92
4000	-18.02666271674592	0.93
4100	-18.557767170791088	0.88
4200	-17.848168515694486	0.88
4300	-18.119351292932745	0.92
4400	-18.400511441659624	0.8
4500	-18.30814036595414	0.89
4600	-18.293709233845277	0.87
4700	-18.270185098066307	0.87
4800	-18.810141234675765	0.88
4900	-18.616611774470865	0.93
5000	-18.037437950355468	0.86
5100	-18.247935485153164	0.9
5200	-17.94207172674796	0.92
5300	-18.272572088116366	0.96
5400	-18.063637842468705	0.81
5500	-18.225222376807938	0.9
5600	-19.05478458273194	0.91
5700	-18.230829927407004	0.9
5800	-18.66770430344161	0.88
5900	-18.321779187509634	0.94
6000	-18.439730973226457	0.93
6100	-18.357207141249468	0.96
6200	-17.71983321890304	0.89
6300	-18.1280565483565	0.94
6400	-18.29315810339481	0.9
6500	-18.491967557621216	0.93
6600	-17.76192316719097	0.85
6700	-18.915300650990794	0.89
6800	-18.438412901873406	0.86
6900	-18.98389651079809	0.93
7000	-18.53831795881461	0.9
7100	-18.3591898110391	0.87
7200	-18.430808240301232	0.9
7300	-18.797557623868475	0.9
7400	-18.399258818022737	0.93
7500	-18.176617303791286	0.95
7600	-18.10435983296962	0.9
7700	-19.147172812120704	0.95
7800	-18.120083528833188	0.9
7900	-18.753810593451437	0.92
8000	-19.074023744633546	0.91
8100	-18.75751840761118	0.89
8200	-19.048882153785843	0.9
8300	-19.36628891089544	0.87
8400	-18.80805914400871	0.95
8500	-18.52029231745651	0.94
8600	-18.878147113997162	0.89
8700	-18.45323675383904	0.88
8800	-18.51018346110964	0.88
8900	-18.16951841837148	0.89
9000	-18.831740587233046	0.93
9100	-18.713861681980696	0.83
9200	-18.624896898473537	0.94
9300	-18.332271626345506	0.85
9400	-18.430901330574663	0.91
9500	-18.70764215708912	0.89
9600	-18.508442275103235	0.94
9700	-19.38362185182019	0.96
9800	-18.66081158832855	0.92
9900	-18.911977927594236	0.92
10000	-17.91590657376971	0.93
0.8824752475247527
