DAG
attr0 has 2 parent(s): {output, GlobalHidden_0}
attr1 has 2 parent(s): {output, GlobalHidden_0}
attr2 has 2 parent(s): {output, GlobalHidden_0}
attr3 has 2 parent(s): {output, GlobalHidden_0}
attr4 has 2 parent(s): {output, GlobalHidden_0}
attr5 has 2 parent(s): {output, GlobalHidden_0}
attr6 has 2 parent(s): {output, GlobalHidden_0}
attr7 has 2 parent(s): {output, GlobalHidden_0}
attr8 has 2 parent(s): {output, GlobalHidden_0}
attr9 has 2 parent(s): {output, GlobalHidden_0}
output has 0 parent(s): {}
GlobalHidden_0 has 0 parent(s): {}

Sample	GlobalHidden_0	 Accuracy
100	-16.808310700281943	0.55
200	-17.082297152075167	0.76
300	-17.17904880208091	0.88
400	-17.597355245881484	0.9
500	-17.582504457031625	0.94
600	-17.86671572579706	0.86
700	-17.549507184410917	0.92
800	-17.458586579458533	0.88
900	-17.616253002256965	0.88
1000	-17.39157846480383	0.85
1100	-18.248287042001348	0.88
1200	-17.538528594600937	0.9
1300	-17.681660715578708	0.86
1400	-18.409968646076557	0.94
1500	-17.74446038668172	0.86
1600	-17.85250077267258	0.85
1700	-18.02741268980305	0.91
1800	-17.45389010466928	0.98
1900	-17.949309577232313	0.89
2000	-18.282699098874865	0.89
2100	-17.98760420694282	0.91
2200	-18.362781062950653	0.88
2300	-18.69252284463554	0.92
2400	-18.613637850000288	0.87
2500	-17.61382552461842	0.83
2600	-18.257973507821323	0.89
2700	-18.68159283586743	0.9
2800	-18.45887441163159	0.91
2900	-17.932196566609864	0.85
3000	-17.872358802810755	0.85
3100	-18.254959249466754	0.9
3200	-17.93523745555077	0.9
3300	-18.16742623113641	0.88
3400	-18.11983665645429	0.91
3500	-18.329805590117495	0.93
3600	-18.232675685928523	0.92
3700	-18.233460502503878	0.93
3800	-18.0928578350088	0.88
3900	-18.367394417250082	0.92
4000	-18.05382597695097	0.87
4100	-18.25679925404927	0.91
4200	-18.448144706300443	0.91
4300	-17.997050313343895	0.92
4400	-18.754843766959013	0.92
4500	-18.650331988352498	0.8
4600	-18.682179002143936	0.89
4700	-17.893544134808014	0.86
4800	-18.33107616289002	0.91
4900	-17.952551251258544	0.91
5000	-18.51663670637157	0.92
5100	-18.326639254060794	0.89
5200	-18.427373335104893	0.95
5300	-18.593469933757202	0.87
5400	-18.499116562507215	0.9
5500	-18.639525804746956	0.94
5600	-18.201642778017185	0.9
5700	-19.011466583093082	0.85
5800	-18.503759360443325	0.87
5900	-18.28814367211003	0.89
6000	-18.69955644034565	0.89
6100	-18.26671255150786	0.87
6200	-18.594380330554703	0.85
6300	-19.149748321800047	0.93
6400	-18.868344791228598	0.91
6500	-18.304861814661788	0.86
6600	-18.409747547810827	0.93
6700	-18.57935493937546	0.91
6800	-18.72240779299496	0.94
6900	-18.708943677384216	0.85
7000	-18.061024149997813	0.91
7100	-19.042868909533624	0.81
7200	-19.100013500522806	0.88
7300	-18.3900707110397	0.91
7400	-18.439576166698757	0.93
7500	-19.07121958550695	0.91
7600	-19.056244882086308	0.93
7700	-18.32526420415014	0.89
7800	-19.06900891476368	0.88
7900	-18.671329497359068	0.92
8000	-18.9950444914364	0.89
8100	-18.68650610286382	0.94
8200	-18.81405603961241	0.91
8300	-18.995355283955547	0.87
8400	-19.36062672916419	0.87
8500	-18.907373842903585	0.87
8600	-18.68230475763446	0.85
8700	-19.063625759332602	0.89
8800	-18.383355959554088	0.88
8900	-18.859138684278758	0.93
9000	-18.780319775239068	0.91
9100	-18.610813688518054	0.91
9200	-18.874967299317742	0.92
9300	-18.724970551514577	0.89
9400	-19.388074558189306	0.93
9500	-18.463660330165364	0.9
9600	-18.809332849476323	0.91
9700	-19.248529158084875	0.92
9800	-18.552826517850242	0.92
9900	-18.70732622142371	0.87
10000	-18.554860499922658	0.89
0.8813861386138615
