@relation dataset

@attribute credit real
@attribute expenses real
@attribute income real
@attribute default {0, 1}


@data

6.666664,7.106613,1.975914,0
4.250982,4.681443,5.819076,1
1.186055,4.44523,6.672618,1
9.126606,5.557114,3.589928,1
1.483416,0.426122,6.568452,0
6.517748,4.141368,9.274964,1
3.730764,8.520876,3.896288,1
6.529456,5.157959,4.784453,1
2.264571,6.760367,3.851976,1
1.441811,9.671052,7.820529,1
4.116282,4.493148,1.672765,0
0.050262,5.262694,4.575327,1
5.688816,1.143779,4.75251,0
5.285147,4.027474,6.651838,1
2.54835,0.548125,4.485745,0
5.706084,9.270199,2.273925,1
6.030566,6.125901,4.48621,1
5.796954,2.306739,0.100242,0
6.799888,1.773008,3.156125,0
7.035701,7.731452,8.383828,1
8.875231,3.136338,4.931081,0
7.163812,1.582919,3.176288,0
2.131044,7.662033,8.789968,1
6.932231,1.063893,5.807785,0
7.189794,0.293994,0.435175,0
2.600734,0.535417,2.899984,0
2.308425,6.056109,6.250771,1
3.787561,4.634599,2.068643,0
7.770937,6.999724,6.823168,1
8.582643,9.999455,4.646911,0
7.661489,3.436878,8.550816,1
4.500771,4.3586,7.556518,1
4.652594,7.991692,4.677313,1
8.527109,7.577296,6.653948,0
3.633405,2.904719,0.17966,0
7.539318,2.248303,0.083757,0
9.248027,6.906925,0.245004,0
6.906381,4.891915,8.544356,1
8.328793,7.095171,9.16159,1
1.453771,6.718107,4.520129,1
4.709799,9.197441,3.359692,1
6.774738,0.01364,4.072442,1
2.918359,4.252101,7.829109,0
6.500404,7.912866,5.767932,1
4.819791,6.012937,3.579101,1
0.904851,2.123457,6.294042,0
9.218629,5.455631,2.063208,1
2.173738,6.583336,6.778765,1
5.780778,0.138457,0.120445,0
0.152097,4.192887,2.963659,0
8.444988,0.792768,3.528134,0
8.705633,9.296066,0.693824,1
5.309003,4.272924,5.251596,1
6.396381,1.545638,5.447498,0
7.001268,7.510706,6.28741,1
4.094042,3.066175,6.058543,1
3.204631,6.178988,2.430336,0
0.371875,5.393995,6.427184,1
6.186762,9.955317,3.762257,1
9.251384,4.45608,8.41782,1
8.729005,3.669417,0.774241,0
5.215055,6.221739,0.740396,0
3.732445,7.027806,1.391329,0
0.093981,7.449872,7.701308,1
3.628861,0.131644,6.65534,0
5.525638,3.082524,2.8176,0
3.037842,6.579857,6.604796,1
1.035937,5.022617,6.849613,1
8.692034,7.623854,4.890328,1
3.845593,5.630725,6.123411,1
2.658531,7.51474,5.404525,1
4.964612,3.105833,6.051123,1
3.237477,2.706463,2.59421,0
5.788987,5.41181,0.475515,0
1.991668,7.080312,1.116055,0
2.102929,7.965668,2.792547,0
5.589522,7.682876,4.70205,1
3.3136,0.82546,7.013153,0
8.3402,2.417678,8.724643,1
5.523511,4.775766,1.898286,0
7.482229,4.492496,7.524103,1
9.904306,7.999618,2.098046,1
5.07993,3.214101,4.923579,0
1.179769,7.716126,7.977821,1
5.399002,2.679871,6.204406,0
3.505332,3.217559,4.684733,0
5.635237,3.409376,5.150345,0
8.185143,7.048631,9.919736,1
1.541127,7.443839,8.938588,1
5.443457,1.036634,3.341409,1
4.250735,8.264988,7.706245,1
5.981114,5.684067,2.199796,0
8.363937,8.404202,0.092718,0
1.621761,4.777452,3.714801,0
8.186828,8.865146,8.415747,1
5.913777,8.335483,2.039341,1
5.779322,0.97793,8.900338,1
2.014564,2.241747,1.746165,0
0.506735,9.452411,1.695804,1
5.136477,3.8956,7.867966,1
2.299802,7.960684,5.369683,1
2.738136,9.084484,1.178562,0
7.94963,9.594309,7.296934,1
7.929792,9.336275,1.318311,1
0.314205,0.21865,4.931891,0
2.460397,6.678056,8.594069,1
6.130467,0.289872,9.454982,1
4.185472,7.322947,4.767358,1
5.283631,0.137041,0.406838,0
9.221526,1.5854,8.946731,1
1.179709,6.243665,1.034563,0
5.57994,2.352874,2.818614,0
2.571524,7.750506,8.222914,1
4.428563,6.816982,7.999053,0
7.106854,7.454035,1.825973,1
4.776982,6.593331,7.777601,0
6.730372,8.184439,8.08238,1
9.769839,7.02911,3.123054,0
3.272775,4.157617,0.059049,0
6.510491,2.877664,4.746861,0
0.62817,2.969775,4.113937,0
9.786757,2.11299,5.615761,0
9.567025,7.441734,8.185938,1
4.035065,5.963539,4.40462,0
4.147977,2.487,6.717335,1
9.51611,9.840389,4.867365,1
3.998007,4.926414,1.641601,1
7.804078,6.388462,9.590514,1
9.358236,3.704451,3.48898,0
5.817441,9.104741,6.038605,1
6.546475,4.224543,9.728474,0
0.188081,4.133093,1.346977,0
6.620093,8.064313,8.253876,1
7.904702,3.121241,8.925089,1
8.047655,0.56669,2.411207,0
6.955152,2.001721,4.283981,0
5.706172,7.772962,5.458383,1
6.877703,1.496988,6.908079,0
5.72153,6.636552,4.005719,1
0.769646,5.352696,0.24567,0
3.417009,8.499546,3.525942,1
1.620787,2.451031,3.22442,0
3.017722,5.635626,5.520176,1
7.637347,9.804157,6.286263,1
7.577119,1.744646,4.867132,0
3.241633,1.775211,7.879,1
8.411763,1.884719,4.872776,0
7.237416,5.118446,6.571147,0
3.617992,0.09709,1.976136,0
2.548121,5.200555,4.907221,1
0.836182,0.427396,5.538717,0
0.231554,1.82498,1.817048,0
3.569625,6.684179,2.263494,0
8.45939,0.142495,5.774422,0
2.027214,0.647198,6.052562,0
5.765644,2.623709,9.919054,1
