@relation dataset

@attribute credit real
@attribute expenses real
@attribute income real
@attribute default {0, 1}


@data

5.234376,2.854707,5.727284,0
2.624473,4.105952,7.207525,1
6.14358,2.286693,4.210865,0
8.980916,9.387765,2.576006,1
5.179175,3.462018,1.485547,0
1.025951,2.05547,8.053144,1
9.942854,5.765728,9.065201,1
0.462278,5.659872,6.971131,1
8.51458,2.698416,6.662574,1
6.804368,3.870099,6.132027,1
6.156792,0.342893,1.796822,0
9.730658,4.372828,7.764702,1
7.834847,9.250249,4.259369,1
1.305719,2.312512,2.373066,0
8.078239,1.438268,5.08263,0
7.098139,2.053761,4.237172,0
4.752176,0.899746,6.75177,0
4.769845,2.883798,4.504491,1
3.226691,6.301313,6.064345,1
0.674142,3.829047,7.867181,1
3.079296,2.12655,7.369787,1
4.439062,9.742853,5.633587,1
1.181121,0.716217,1.057819,0
2.769977,5.294991,3.891979,1
6.194737,0.64375,9.078697,0
3.527548,3.583188,1.89122,0
9.884501,7.955565,9.711587,0
1.784612,7.578767,9.067632,1
9.705317,6.437418,9.248922,1
6.180272,4.882509,6.661681,1
5.598726,7.7195,5.640654,1
3.014491,9.532633,5.890857,1
0.176383,4.969554,0.17381,0
8.552742,2.06503,0.458169,0
0.020595,0.169756,8.995887,1
7.748523,8.063518,6.669115,1
4.500937,5.918037,1.598219,1
0.800546,8.2599,8.042602,1
5.9794,3.683256,4.767976,1
3.215889,0.658833,8.203118,1
5.628387,8.376928,7.096203,1
0.441958,7.554372,2.618373,0
7.724128,1.614259,2.26776,0
9.677777,8.936874,2.926492,1
4.854911,4.524712,4.859922,1
2.784612,2.902524,2.05473,0
6.58578,6.822706,7.757902,1
7.481539,5.96102,3.19394,1
4.337948,0.290143,7.291055,0
7.844515,9.909428,5.242459,1
1.523686,7.510219,1.041296,1
6.447093,3.967788,5.380177,1
8.4925,0.240099,6.957462,0
3.142622,9.012192,0.041123,1
5.834898,7.799025,9.53007,1
3.760045,2.724011,6.426362,1
3.014154,3.717417,2.877899,1
3.626844,8.120358,6.427313,1
5.630576,7.468609,6.351994,1
1.436397,1.732171,3.379673,0
1.97227,0.337135,1.206009,0
9.349326,1.247132,4.843294,0
9.046157,4.373365,8.50066,1
7.097375,4.927022,0.904194,1
8.644439,3.782093,0.970199,0
1.902451,7.397513,7.421814,1
4.866122,3.773808,9.610696,1
5.505979,2.990369,6.231416,1
3.327504,7.437425,2.593141,1
8.684557,7.436435,7.861055,1
1.809799,6.361715,0.536915,0
1.288737,1.441109,9.018704,1
5.223202,9.988904,2.204458,1
7.386416,9.626272,4.658679,1
3.40008,4.269376,8.555058,1
7.259745,4.786474,6.384308,0
2.223899,8.977448,3.264081,0
6.413883,1.125135,8.63917,1
7.48685,9.176085,7.130857,1
0.617194,6.149562,8.708762,1
6.138466,0.913221,2.966048,0
0.539493,7.624728,5.777421,1
1.894104,4.332479,2.845633,0
9.118953,9.22994,9.741099,1
8.207389,3.005179,2.251308,0
4.130315,0.890478,2.844955,0
0.066563,9.975812,0.392752,0
6.125374,9.101515,6.524152,1
0.014735,9.490201,5.788723,0
7.114929,1.566144,4.493803,0
5.898622,7.339436,8.162882,1
6.569376,7.903981,6.360426,1
0.909161,8.611734,9.398038,1
9.502212,2.242992,6.656641,1
2.218804,7.049393,0.252531,0
6.150907,6.776683,0.608019,0
6.266884,6.396741,6.719871,1
7.962885,1.213673,2.390846,0
8.553109,0.553728,8.879082,1
8.457709,5.239507,9.899251,1
3.851242,9.297288,4.406346,1
1.54028,1.062987,2.922228,0
8.112379,3.174759,2.103264,0
9.951443,2.711282,0.428929,0
9.108024,7.1488,9.60014,1
8.362473,1.990986,0.932416,0
2.544714,9.811498,2.038067,1
5.051005,1.937318,0.369294,0
1.234606,4.77564,2.2557,0
5.838626,5.177928,6.533971,1
8.352687,8.637235,8.214292,1
1.348518,8.643221,4.522456,0
5.79202,4.122595,7.527451,1
6.113581,8.459867,1.070075,1
8.271364,3.108143,9.660718,1
5.045461,0.030012,2.224615,0
4.805652,4.480315,9.054954,0
9.658243,5.588925,4.595284,1
4.22616,2.809576,6.31506,1
1.452796,0.837515,6.031219,0
4.960111,3.55867,1.39931,0
2.018536,2.469386,9.731986,0
5.577528,9.392704,3.61227,0
9.422716,5.836885,6.903056,1
0.3172,5.958009,4.872645,1
1.546934,9.467929,7.986373,1
2.277505,4.301433,1.347771,0
5.138949,7.37899,0.975118,0
0.93766,2.374428,1.172751,0
4.843814,0.904737,3.246097,1
0.29744,6.858366,1.044331,0
2.695251,7.947387,3.948524,1
3.905396,8.821169,2.987895,1
8.289099,0.974269,1.225423,1
5.275702,2.573194,4.296905,1
9.952184,5.272022,0.51371,1
7.646451,1.686461,3.84604,0
2.591197,7.092136,2.911607,1
3.950503,3.955938,2.608794,0
1.903325,6.557318,9.658206,1
5.378488,2.646101,1.261049,0
3.62037,2.486472,4.234189,0
5.059666,8.531094,9.310723,1
3.803116,9.824433,5.901693,1
1.510895,9.747733,3.939831,1
6.83987,6.851438,6.99073,0
0.807376,9.599524,7.436127,1
6.156842,7.094333,8.519421,1
9.740435,9.78047,5.202916,1
2.266942,9.437105,2.256877,1
7.968199,1.567601,2.338458,0
1.392034,8.240151,3.220881,1
7.987885,7.160712,7.005021,1
4.01215,3.99575,5.618127,1
3.595274,3.054254,7.530227,1
0.148587,6.049648,1.287446,0
5.830118,6.490362,3.249826,1
5.927467,5.506703,5.423668,1
7.074304,7.762126,5.666981,1
6.002278,8.887862,1.369267,1
6.048574,8.374288,8.817917,0
2.370038,4.436044,4.880251,1
7.490298,2.410478,5.717429,1
8.460126,7.004876,7.527906,1
3.495238,0.777732,2.387305,0
6.284436,7.810973,3.318371,1
5.573099,8.985352,1.825078,1
7.873214,3.194345,5.565539,1
1.568632,4.383457,3.982512,1
8.819501,8.862763,9.903983,1
1.273242,5.621412,3.948684,1
2.626288,1.476591,4.023612,0
2.254323,6.410917,5.544231,1
4.22189,8.862602,1.897498,1
7.847955,3.722576,1.370367,0
6.916921,6.935906,9.642957,1
1.319363,3.625469,2.424224,1
2.488232,2.328207,6.448662,1
7.949619,0.397347,3.494843,1
1.873937,7.518455,6.697433,1
3.929373,2.241665,2.667019,0
1.104267,4.564517,7.946253,1
8.287093,9.31662,4.67339,1
6.252526,4.316347,3.689568,1
7.941815,6.113792,7.710752,0
8.441999,4.159415,4.191522,1
4.556762,7.686365,6.967526,1
5.20482,3.664959,0.558959,0
5.906624,3.225977,7.285455,1
7.790494,5.231708,5.963113,1
4.548327,0.636503,1.281603,1
4.952849,4.97117,8.372743,1
1.084963,6.083495,3.324713,1
0.24291,7.516235,5.918581,1
5.202599,2.886107,1.23037,1
6.551066,1.789329,9.541611,1
5.015306,6.827066,9.468582,1
2.058774,5.431695,8.883389,1
6.068198,0.164991,7.407955,0
5.136162,5.780698,3.915712,1
1.864193,7.240425,5.748086,1
4.75666,1.666668,6.906775,1
4.552774,8.137145,0.366678,1
9.926474,9.908288,3.561532,1
6.735354,3.030114,7.747581,1
8.461808,6.63097,5.40123,1
6.795961,2.809185,5.551054,1
8.589883,9.466766,8.153248,0
6.707191,3.901334,2.561178,0
5.568002,9.467953,1.42311,0
7.605098,1.789787,1.224617,0
1.698076,4.786149,2.473352,0
7.816263,0.220933,7.227558,0
6.851902,2.628788,0.808078,0
5.437973,6.359132,5.579987,1
5.825898,3.733234,4.481931,1
7.634568,7.043109,3.996941,1
6.511062,5.42005,3.323346,1
7.209838,4.547963,1.647732,0
9.334112,4.121084,7.341343,1
4.342017,4.568902,3.428446,0
7.19769,4.236523,4.841783,1
0.595655,0.421769,6.663518,0
4.155003,1.14545,8.954642,1
8.188559,2.951583,4.99214,0
8.371634,8.315486,8.815781,1
2.863449,0.463512,4.489385,0
4.584596,1.830728,9.347936,1
6.399631,2.776381,0.120532,0
7.012905,4.962315,6.232984,1
5.384084,2.896502,4.030113,0
4.041951,2.984755,1.328658,0
5.936338,6.320798,6.93013,1
4.636284,5.745911,9.889443,1
6.209424,4.378828,9.697294,0
6.209557,9.04523,9.720632,1
1.821611,9.841164,6.206507,1
4.803478,2.439491,6.443075,0
5.335992,0.473187,9.726648,1
3.457942,1.055306,1.608454,0
7.376104,8.538585,3.702253,1
4.284496,3.591696,9.512122,0
7.970524,9.209416,1.287939,1
8.254646,1.008571,6.789268,1
0.849734,2.995775,8.910772,1
5.435265,5.353847,5.840773,0
5.827034,5.567421,0.149201,0
6.622727,1.757655,8.679257,1
0.29624,2.38151,6.01122,1
5.973207,5.523342,5.074655,1
4.732759,6.362594,8.123811,1
7.371164,4.913078,3.063661,0
7.908853,1.974433,3.87411,0
7.32828,9.714883,4.115376,1
5.282304,4.264577,2.44029,0
6.022232,1.119547,5.903862,0
3.501058,1.915083,0.899207,0
7.438425,5.973862,3.417995,1
2.336456,1.541806,5.158588,0
6.454885,8.22225,7.928519,1
0.196683,1.802629,7.707855,1
1.517512,1.823231,0.680276,0
6.087808,3.120567,8.704847,1
4.240114,4.608709,8.428511,1
6.523792,9.327718,7.215436,1
5.30158,0.633431,6.1334,0
2.175237,1.291989,7.345656,1
9.514238,5.274175,2.993859,1
7.076804,0.701714,7.235884,0
2.524945,7.916161,5.394132,1
1.036727,4.098979,0.722792,0
8.707688,9.151302,3.018013,1
8.47902,0.233449,9.193698,1
0.866879,5.327098,1.418636,0
6.619087,8.764293,1.672237,1
4.038467,4.666096,5.844247,1
5.367809,3.080131,9.709588,1
0.996292,5.10372,6.505507,1
9.202699,7.228298,7.309861,1
6.3796,0.327874,3.141867,0
0.561322,2.335565,8.63922,1
7.662663,0.057856,4.470318,0
8.822148,6.142555,0.415075,0
0.80865,6.259323,3.975888,1
9.339454,3.685476,4.069214,1
8.789195,0.57472,2.368766,0
7.803019,9.678626,5.90228,1
0.0065,9.044147,9.041239,0
1.379712,7.680459,1.996024,1
7.738316,6.466341,3.324124,1
2.608896,3.7392,9.421081,1
