@relation dataset

@attribute DiscreteVar0 {0.0, 1.0}
@attribute DiscreteVar1 {0.0, 1.0}
@attribute DiscreteVar2 {0.0, 1.0}
@attribute DiscreteVar3 {0.0, 1.0}
@attribute DiscreteVar4 {0.0, 1.0}
@attribute GaussianVar0 real
@attribute GaussianVar1 real
@attribute GaussianVar2 real
@attribute GaussianVar3 real
@attribute GaussianVar4 real


@data

0.0,0.0,1.0,1.0,0.0,13.065360199346792,-21.171503579580705,-8.48088021899072,-3.6905265078733667,-5.021098421063034
0.0,1.0,1.0,0.0,1.0,3.8584746116854953,-11.983811954711399,-4.9024224479000615,1.9058502940242024,-9.270640681748375
1.0,0.0,0.0,0.0,1.0,-3.4451703906149653,-2.026314843749831,-0.22035270994530587,0.5213230094697443,-2.700029516282721
0.0,0.0,0.0,1.0,0.0,-3.585488594200578,-5.933440465871824,-2.5872201963419807,6.1127259200609805,-12.748041253589598
0.0,0.0,1.0,0.0,0.0,8.003014512732523,-12.79568645222,-7.220049140703266,-0.09246470910079546,-7.930245560544616
1.0,0.0,0.0,0.0,0.0,-7.261849974718814,-7.175328196103843,-0.14427407518304647,8.140315595195515,-11.59109222403189
1.0,1.0,0.0,0.0,0.0,2.417181158187543,-3.0769726281669296,-0.9921920146334993,-2.1188436571833362,3.321692017860948
1.0,1.0,0.0,1.0,1.0,-10.656286835221335,-0.47949339746830777,0.314311396327359,8.813357532896534,-15.34302735007186
1.0,0.0,0.0,1.0,0.0,4.62237261200889,-3.7897242085985074,0.5672266091462835,-5.68264774191827,10.422543303431434
0.0,1.0,1.0,0.0,1.0,1.6585696565641666,-16.66078801082676,-7.796264964786221,5.580392514092396,-17.09703360318103
0.0,0.0,1.0,1.0,1.0,6.6916712394090405,-15.305820839906655,-5.6702824387414825,1.020456309927708,-6.763664048441593
1.0,0.0,0.0,1.0,0.0,3.332528230713841,-5.679999379212263,0.08882201788063782,-3.6865795632145564,6.7799789204541945
0.0,1.0,1.0,1.0,1.0,3.1785322614994973,-13.088430419449427,-3.6505796188879063,1.2559792193028452,-5.813436673129607
0.0,0.0,1.0,1.0,0.0,8.185579802787368,-12.611248028314721,-4.974851189602548,-2.1399598873540753,-0.6690074132363961
0.0,1.0,1.0,1.0,1.0,3.662153257066108,-12.04651254522669,-2.394051874946638,0.5287608460448749,-4.289135350286279
1.0,0.0,1.0,0.0,1.0,9.244190844328532,1.7453842949457696,0.3670765454530045,-9.242087436653003,15.051177126759928
1.0,1.0,0.0,0.0,0.0,0.8754085358204167,-3.664071555858021,-1.597943846683247,0.5131480990961905,-2.8988782648703273
1.0,1.0,0.0,0.0,1.0,-7.809595207575808,-9.325462812982785,-1.2660818943046483,8.057713070935938,-12.291275472193721
1.0,0.0,0.0,0.0,0.0,1.0751355597240935,-3.3097614000793563,-1.7299481158665508,1.5439041403769835,-3.816979838985574
0.0,0.0,0.0,0.0,1.0,-6.366156742898323,-8.884180579763807,-1.7375322849600616,9.772246552143635,-15.399212652154343
0.0,1.0,1.0,1.0,0.0,8.094200355437856,-12.900718676023432,-5.114947845347269,-2.305112585477153,-1.739807344813111
1.0,1.0,0.0,1.0,0.0,-0.17093420703148526,-5.2735632293730825,-0.3919460021216683,-0.18962626398401783,1.6646013305423322
1.0,0.0,1.0,0.0,0.0,8.601489639848076,-4.143886108481366,-2.550993617361061,-6.055624617019448,6.403937197286819
1.0,1.0,0.0,0.0,1.0,-11.757651000957571,-10.605598580493027,-1.1238118787489586,13.346999016138838,-20.775931646897533
0.0,0.0,1.0,1.0,0.0,7.993281246311768,-14.951015935873661,-3.3892477124582316,-4.371400961220784,2.644885994980395
1.0,0.0,0.0,0.0,0.0,-3.5153293865723962,-2.7520406551713186,0.5152968912195279,2.2139160360169385,-4.047586289483611
1.0,1.0,0.0,0.0,1.0,-10.354478674796638,-12.172134646695605,-1.531105216781345,10.719465287852428,-20.347181290866178
1.0,0.0,0.0,1.0,0.0,1.8383495132431147,-5.630188957937859,-1.775947645610771,-0.9363906072867412,-1.0910913473888548
1.0,1.0,0.0,1.0,0.0,-0.678509967055339,-5.618909809982981,-1.6975085897021167,3.2666748801735084,-7.926387368731644
0.0,0.0,0.0,1.0,0.0,-3.1575110799322292,-11.19433421174349,-3.676019370233124,7.51596680814751,-15.659542922893289
1.0,0.0,0.0,0.0,1.0,-7.324865344193493,-3.090902100689397,-0.15546846429076855,8.600982622591763,-12.692312445660932
0.0,0.0,1.0,1.0,1.0,6.679982679075167,-13.33220950332216,-4.535792981063002,-3.7753571060702384,-0.36257977246180473
0.0,0.0,1.0,1.0,0.0,9.1573354850372,-10.436713203013099,-2.0310205540010227,-5.235419490488821,7.1015515665416045
1.0,0.0,0.0,0.0,0.0,3.538417516739374,-2.4085045713614943,-2.1920204786464277,-1.564273854158928,0.08032942003004262
1.0,0.0,1.0,1.0,0.0,7.225391017957249,-0.36209799538239706,-0.11689848287754073,-6.721312235363854,13.209443716698996
1.0,0.0,1.0,0.0,1.0,5.581103056667563,-1.1529315088047511,0.523198554109747,-6.387827044077325,10.567325042511065
0.0,0.0,0.0,0.0,1.0,-12.508776078830675,-8.951171550162451,-2.9908544875354233,13.575149133403112,-24.493300588204963
1.0,1.0,0.0,0.0,0.0,0.6538694577953565,-8.865861332851209,-1.569842162493695,0.497218407533405,-2.431212093182704
1.0,0.0,0.0,0.0,0.0,0.8489984248414089,-5.584432389252205,-0.30386960207181135,-0.4407173630669795,2.6185172207967407
1.0,0.0,0.0,0.0,0.0,-0.8686111232791043,-0.6732359379311301,-0.2531835161531252,-0.0743557935396072,-1.0623224595089253
0.0,1.0,0.0,1.0,1.0,-10.153571049063808,-7.58213394468961,-2.3685999475773474,11.036333873761235,-19.103973911104813
1.0,1.0,0.0,0.0,0.0,0.898071370024365,-8.989238388109086,-1.1495843546564108,0.27538344753371147,-2.2406818567692848
1.0,1.0,0.0,1.0,0.0,-1.4352389633489688,-7.150398268952674,-1.1189981109741152,2.029886532864565,-3.3246700688735253
1.0,0.0,0.0,1.0,0.0,0.9415359221075527,-3.547331464742474,-1.7043935326629351,2.358910905829739,-6.730214139818882
0.0,0.0,1.0,0.0,1.0,-0.09751151052759077,-12.060090665326129,-4.809887713620165,5.197738731142564,-15.017479763933132
0.0,1.0,1.0,1.0,0.0,10.916901571692962,-14.96509676782851,-5.433529473575315,-5.471717074269827,2.0892104684263284
1.0,1.0,1.0,1.0,0.0,7.6460905987358165,-3.543615748009003,-0.35811783663577046,-6.099650387301514,8.797004174275104
1.0,0.0,0.0,0.0,0.0,-0.9788357744548917,-1.2446740674796484,-1.2660434463884724,3.8798184571918792,-4.317606464040562
1.0,1.0,0.0,0.0,0.0,5.0760452028555445,-1.60597016649114,-1.3782543698206973,-2.721404593112564,3.7282712236109976
0.0,1.0,1.0,1.0,0.0,13.228981483120162,-8.71485029908304,-2.2021511089164205,-9.005780507883694,13.053966033213415
