@relation dataset

@attribute SEQUENCE_ID real
@attribute TIME_ID real
@attribute DiscreteVar0 {0.0, 1.0}
@attribute DiscreteVar1 {0.0, 1.0}
@attribute DiscreteVar2 {0.0, 1.0}
@attribute DiscreteVar3 {0.0, 1.0}
@attribute DiscreteVar4 {0.0, 1.0}


@data

0,0,0.0,1.0,1.0,1.0,0.0
0,1,0.0,0.0,0.0,0.0,1.0
0,2,1.0,0.0,1.0,1.0,0.0
0,3,0.0,0.0,0.0,1.0,1.0
0,4,0.0,0.0,1.0,1.0,0.0
0,5,0.0,1.0,1.0,0.0,1.0
0,6,0.0,0.0,1.0,1.0,1.0
0,7,1.0,0.0,0.0,0.0,0.0
0,8,1.0,1.0,1.0,1.0,1.0
0,9,0.0,0.0,0.0,0.0,0.0
0,10,1.0,0.0,0.0,1.0,1.0
0,11,1.0,1.0,1.0,0.0,0.0
0,12,1.0,0.0,0.0,0.0,0.0
0,13,1.0,1.0,1.0,1.0,1.0
0,14,0.0,1.0,0.0,0.0,0.0
0,15,1.0,0.0,1.0,1.0,0.0
0,16,0.0,0.0,0.0,0.0,0.0
0,17,0.0,0.0,1.0,1.0,1.0
0,18,0.0,0.0,1.0,0.0,1.0
0,19,0.0,0.0,0.0,1.0,0.0
0,20,0.0,1.0,1.0,0.0,1.0
0,21,0.0,1.0,0.0,0.0,1.0
0,22,1.0,0.0,0.0,0.0,1.0
0,23,1.0,0.0,1.0,0.0,1.0
0,24,0.0,0.0,0.0,1.0,0.0
0,25,0.0,0.0,1.0,0.0,0.0
0,26,0.0,0.0,1.0,1.0,1.0
0,27,1.0,1.0,1.0,1.0,0.0
0,28,1.0,1.0,0.0,0.0,0.0
0,29,0.0,0.0,0.0,1.0,1.0
0,30,0.0,0.0,1.0,0.0,0.0
0,31,1.0,0.0,1.0,0.0,0.0
0,32,1.0,0.0,0.0,0.0,0.0
0,33,0.0,1.0,1.0,1.0,0.0
0,34,1.0,1.0,0.0,0.0,0.0
0,35,1.0,1.0,1.0,1.0,1.0
0,36,0.0,0.0,0.0,0.0,1.0
0,37,0.0,0.0,1.0,1.0,0.0
0,38,0.0,0.0,0.0,1.0,1.0
0,39,1.0,1.0,1.0,0.0,0.0
0,40,1.0,1.0,1.0,1.0,1.0
0,41,1.0,0.0,1.0,0.0,1.0
0,42,0.0,0.0,0.0,0.0,0.0
0,43,0.0,0.0,0.0,1.0,1.0
0,44,1.0,0.0,1.0,1.0,0.0
0,45,1.0,0.0,0.0,0.0,1.0
0,46,0.0,0.0,1.0,0.0,0.0
0,47,0.0,0.0,0.0,1.0,1.0
0,48,0.0,0.0,1.0,0.0,1.0
0,49,1.0,0.0,0.0,0.0,0.0
