@relation dataset

@attribute SEQUENCE_ID real
@attribute TIME_ID real
@attribute ClassVar {0.0, 1.0}
@attribute DiscreteVar1 {0.0, 1.0}
@attribute DiscreteVar2 {0.0, 1.0}
@attribute DiscreteVar3 {0.0, 1.0}
@attribute ContinuousVar1 real
@attribute ContinuousVar2 real
@attribute ContinuousVar3 real


@data

0,0,1.0,0.0,1.0,1.0,-4.508604089424211,2.220634678858819,-15.454674649174644
0,1,1.0,1.0,1.0,1.0,4.594950537436808,1.2670621604062893,0.5165149622693049
0,2,0.0,0.0,0.0,1.0,-4.046893151328283,-1.3191505746100822,3.1709560656104725
0,3,0.0,1.0,1.0,1.0,4.056726786137666,1.593920973824861,1.511715959637185
0,4,1.0,0.0,1.0,0.0,-5.1478582572960505,4.349427924061132,0.30753362935370776
0,5,1.0,1.0,1.0,0.0,5.390385901244858,7.017064228268059,-0.934921828370857
0,6,0.0,1.0,1.0,1.0,-4.639014909389642,-7.766409034629485,-0.4078074966334244
0,7,1.0,0.0,0.0,0.0,4.791013391671544,-6.015039466565335,-0.41169126591303984
0,8,1.0,1.0,1.0,1.0,-6.626561394672214,-7.164690821111069,-2.796629809819829
0,9,1.0,0.0,1.0,1.0,8.239862440301103,-6.972696560710993,-1.4551869897282994
0,10,1.0,1.0,1.0,0.0,-11.348899043700856,-7.364211400974807,0.3814582600566141
0,11,1.0,0.0,1.0,0.0,14.255521047555801,-8.540360901827473,0.3247538538148719
0,12,0.0,1.0,1.0,0.0,-9.73207586412326,11.540568166850564,-2.7400128506420725
0,13,0.0,0.0,1.0,0.0,7.189251782827114,-14.201733945262646,-3.5228327655538125
0,14,1.0,1.0,1.0,0.0,-9.548602229811976,-13.314967169210991,-1.738241590371192
0,15,0.0,1.0,0.0,1.0,9.151834591070315,16.516483700085924,-1.9726211637820095
0,16,1.0,0.0,0.0,1.0,-12.906938500770774,17.72517737693884,0.20098995316020546
0,17,0.0,1.0,0.0,0.0,9.716444801756452,-19.691047782704473,-1.4305059726724174
0,18,0.0,1.0,1.0,0.0,-5.090561603781798,23.215886505873033,-2.2502042468996253
0,19,1.0,1.0,0.0,0.0,6.414400844251869,24.811073647245674,-1.4325523909476336
0,20,0.0,1.0,1.0,0.0,-5.084297646870509,-28.76868052502753,-1.8170814628862524
0,21,0.0,0.0,1.0,0.0,6.03794780793957,34.026560832014525,-1.3956941393450562
0,22,1.0,1.0,1.0,0.0,-9.619655453651148,37.420411544431964,-1.604591471237228
0,23,1.0,0.0,1.0,1.0,10.038274025655802,39.51982251307976,0.6752845757347034
0,24,1.0,1.0,1.0,1.0,-15.554324665765476,42.18044958224905,-0.2611881925844438
0,25,1.0,0.0,0.0,1.0,20.145406075334805,42.94234401200742,1.0396786060450485
0,26,0.0,0.0,0.0,1.0,-13.991930268781104,-49.03128316222766,-0.6760729376944165
0,27,0.0,0.0,1.0,0.0,10.91285100181884,58.600875949333734,-3.1506162705258385
0,28,1.0,1.0,0.0,0.0,-18.329355569575064,63.6371313189905,-1.41873203181664
0,29,1.0,1.0,1.0,0.0,23.429103192396692,67.53078275263805,-0.017606837154916274
0,30,0.0,1.0,0.0,1.0,-15.648777690413164,-80.38185907249652,-0.9632496481904669
0,31,0.0,0.0,0.0,0.0,11.278775551277652,92.63107084314036,-1.480359960339892
0,32,0.0,0.0,0.0,0.0,-10.326671404363847,-107.48632424933864,-2.255066400095964
0,33,0.0,0.0,1.0,1.0,7.532234600504271,125.655490738954,-1.3486415606702722
0,34,1.0,1.0,1.0,0.0,-10.233032474586386,129.9268488799075,-0.67739961857052
0,35,1.0,0.0,1.0,1.0,11.121352689222455,136.07858353956428,0.9767199345242635
0,36,1.0,0.0,1.0,1.0,-16.326367088350338,139.8620832939177,-0.939470290826566
0,37,0.0,1.0,1.0,1.0,12.461846206714219,-162.68304473365703,-2.940326365810657
0,38,0.0,1.0,1.0,0.0,-7.4654295758091,191.63027317208812,-3.532068699154241
0,39,0.0,0.0,0.0,1.0,4.703300117038331,-223.6127413409494,-2.9594979242188666
0,40,0.0,0.0,1.0,0.0,-2.9664517853881893,261.64195077855095,-0.740804203677101
0,41,0.0,1.0,0.0,0.0,2.821474826759797,-304.91896079766497,-3.15466402841435
0,42,0.0,1.0,0.0,0.0,-0.08823056675085561,356.2759777767449,-2.5386680771512093
0,43,0.0,0.0,0.0,1.0,-1.1520282897357093,-417.1438744059676,-1.556688633144649
0,44,0.0,0.0,0.0,1.0,-0.04521078090818298,488.138054576317,-0.5221716257814915
0,45,0.0,1.0,1.0,0.0,1.2285159287439564,-571.0563314786999,-2.5554506805063797
