@relation stream
@attribute attr0	 numeric
@attribute attr1	 numeric
@attribute attr2	 numeric
@attribute attr3	 numeric
@attribute attr4	 numeric
@attribute attr5	 numeric
@attribute attr6	 numeric
@attribute attr7	 numeric
@attribute attr8	 numeric
@attribute attr9	 numeric
@attribute output	{0,1}

@data
0.911092,0.741564,0.202688,0.127533,0.70296,0.867046,0.698677,0.137679,0.78521,0.051405,0
0.128609,0.330907,0.882079,0.244398,0.893172,0.074392,0.571949,0.08981,0.255404,0.079528,0
0.38123,0.580062,0.08476,0.61294,0.302294,0.996439,0.41488,0.448587,0.298171,0.969681,0
0.392654,0.02566,0.263926,0.407942,0.122548,0.421782,0.659016,0.682766,0.855122,0.421268,1
0.640973,0.808174,0.287958,0.337499,0.0679,0.460322,0.615918,0.781861,0.428144,0.781033,1
0.97892,0.215358,0.37311,0.204199,0.535693,0.369974,0.646669,0.227158,0.821723,0.994015,1
0.357114,0.061659,0.511091,0.785359,0.459269,0.250975,0.494886,0.886302,0.743981,0.894245,1
0.228824,0.460198,0.945291,0.583644,0.889212,0.724676,0.614622,0.366426,0.769661,0.891436,1
0.949036,0.486283,0.519219,0.810538,0.397626,0.354281,0.304292,0.203791,0.291744,0.461415,0
0.178098,0.613434,0.060144,0.460577,0.640238,0.548228,0.154316,0.495944,0.503744,0.129341,0
0.616974,0.547301,0.294059,0.362516,0.518821,0.514702,0.715274,0.410339,0.855115,0.47826,1
0.048357,0.030109,0.836176,0.723563,0.605586,0.789416,0.569265,0.834445,0.526772,0.294067,1
0.776496,0.380896,0.234683,0.712808,0.759463,0.059605,0.070869,0.048064,0.732977,0.132253,0
0.902399,0.310469,0.032282,0.424563,0.303679,0.703839,0.863906,0.549617,0.361734,0.208551,0
0.164635,0.574358,0.135332,0.677502,0.886822,0.321621,0.597297,0.249333,0.87821,0.249096,0
0.251756,0.536226,0.557954,0.749538,0.890751,0.759919,0.443557,0.226666,0.863447,0.163102,1
0.109851,0.508279,0.696472,0.376396,0.302536,0.750511,0.887842,0.400424,0.067345,0.941643,1
0.758583,0.127801,0.868022,0.968879,0.795868,0.103262,0.786944,0.937886,0.684012,0.33142,1
0.10165,0.762158,0.207929,0.571549,0.694089,0.759669,0.404131,0.142667,0.165603,0.936619,0
0.917569,0.172356,0.46365,0.806047,0.865429,0.501306,0.55527,0.923645,0.119712,0.39499,1
0.298676,0.524537,0.04967,0.490001,0.224836,0.813276,0.02623,0.923736,0.770897,0.806027,1
0.953055,0.5069,0.658074,0.036589,0.919137,0.078432,0.243248,0.326203,0.23209,0.104233,0
0.278149,0.64489,0.666328,0.144888,0.651276,0.069092,0.612082,0.434535,0.677835,0.959071,1
0.322153,0.508622,0.546441,0.235811,0.452398,0.005693,0.36743,0.03234,0.915846,0.845703,0
0.565765,0.585758,0.425225,0.648184,0.352474,0.87415,0.243989,0.476238,0.922255,0.738156,1
0.610913,0.575622,0.881883,0.3899,0.885536,0.665213,0.619494,0.843111,0.227829,0.20366,1
0.064139,0.483484,0.113033,0.463346,0.927923,0.6257,0.099884,0.860228,0.231413,0.024937,0
0.166451,0.664787,0.676714,0.139514,0.333281,0.062592,0.415214,0.372811,0.026169,0.803106,0
0.799462,0.191998,0.971341,0.318016,0.052778,0.501679,0.304366,0.848011,0.70691,0.099627,1
0.176745,0.088154,0.674695,0.163648,0.658293,0.416213,0.856361,0.117427,0.762489,0.311204,0
0.669427,0.188508,0.933668,0.910817,0.318821,0.611958,0.412496,0.870048,0.558697,0.043405,1
0.729231,0.51291,0.968662,0.170961,0.373957,0.774453,0.539783,0.467862,0.073165,0.625179,0
0.449399,0.669129,0.78256,0.16179,0.090561,0.486503,0.441181,0.037757,0.849955,0.148811,0
0.521418,0.83042,0.542522,0.041294,0.302648,0.174099,0.626869,0.376816,0.812461,0.867421,1
0.906199,0.897267,0.08164,0.617047,0.082911,0.996233,0.280998,0.481808,0.025096,0.759646,0
0.718009,0.183197,0.207304,0.356727,0.288804,0.588706,0.593345,0.331471,0.02993,0.581662,0
0.797132,0.713067,0.099071,0.503144,0.643367,0.778421,0.447257,0.246866,0.606136,0.838004,1
0.040226,0.001654,0.571584,0.243351,0.458561,0.666683,0.564053,0.007634,0.520117,0.326538,0
0.972824,0.128173,0.281076,0.598123,0.180763,0.72668,0.124164,0.267102,0.845824,0.723527,0
0.609353,0.80029,0.365434,0.585758,0.740781,0.827229,0.784582,0.864605,0.351969,0.902498,1
0.042054,0.660193,0.770837,0.541279,0.016668,0.806034,0.340578,0.491359,0.417539,0.865374,1
0.657658,0.720552,0.636853,0.108976,0.583966,0.57904,0.760349,0.222963,0.840547,0.542304,1
0.740794,0.784078,0.723202,0.923876,0.196248,0.301091,0.519938,0.159541,0.86029,0.361499,1
0.759559,0.24927,0.307404,0.9896,0.969844,0.222491,0.807261,0.398392,0.861108,0.221055,1
0.530683,0.855735,0.821964,0.704126,0.643957,0.018537,0.059791,0.424718,0.549433,0.507811,1
0.252655,0.160857,0.041061,0.861015,0.122088,0.270584,0.094074,0.951628,0.066144,0.584844,0
0.148769,0.593653,0.156529,0.371857,0.00634,0.097703,0.616528,0.324931,0.356781,0.051294,1
0.524684,0.861475,0.812748,0.72788,0.406447,0.716681,0.837181,0.374878,0.274811,0.003376,1
0.063865,0.668685,0.010298,0.28618,0.719336,0.072248,0.3565,0.625699,0.933731,0.750022,1
0.58564,0.896415,0.411045,0.173135,0.22,0.536493,0.740153,0.745506,0.12083,0.67599,1
0.648518,0.866028,0.815145,0.641845,0.260048,0.044319,0.152995,0.353844,0.093379,0.197681,0
0.055661,0.219818,0.057578,0.706344,0.559902,0.745968,0.393769,0.324515,0.51342,0.176832,0
0.541638,0.347302,0.555558,0.240348,0.291706,0.136185,0.986384,0.235143,0.087216,0.683227,0
0.34472,0.829709,0.542554,0.404735,0.067958,0.763064,0.492758,0.405786,0.864385,0.036995,1
0.207131,0.688791,0.892119,0.287842,0.943306,0.364239,0.17819,0.526316,0.533177,0.374935,0
0.329759,0.811596,0.665272,0.486216,0.773108,0.416592,0.942528,0.187213,0.625892,0.012331,1
0.249413,0.023521,0.70639,0.685555,0.849794,0.311552,0.454473,0.424423,0.328154,0.073579,0
0.433327,0.590542,0.21767,0.835132,0.340218,0.495508,0.266749,0.150911,0.964708,0.267752,0
0.148175,0.923067,0.246461,0.076246,0.741216,0.267378,0.694549,0.856409,0.402619,0.637793,1
0.343892,0.003857,0.380398,0.093833,0.205695,0.382825,0.963143,0.630259,0.351311,0.37382,0
0.851872,0.757602,0.532538,0.35298,0.346244,0.149237,0.941991,0.74554,0.590066,0.395932,1
