@relation stream
@attribute attr0	 numeric
@attribute attr1	 numeric
@attribute attr2	 numeric
@attribute attr3	 numeric
@attribute attr4	 numeric
@attribute attr5	 numeric
@attribute attr6	 numeric
@attribute attr7	 numeric
@attribute attr8	 numeric
@attribute attr9	 numeric
@attribute output	{0,1}

@data
0.281604,0.483072,0.128672,0.580107,0.779105,0.714086,0.866009,0.26544,0.047395,0.625241,0
0.225651,0.6608,0.941454,0.143815,0.863146,0.372168,0.523513,0.001355,0.92148,0.483791,1
0.756197,0.626265,0.305769,0.304362,0.232946,0.544092,0.123585,0.576482,0.900815,0.269488,1
0.874187,0.469789,0.656356,0.850728,0.221249,0.489814,0.073075,0.534661,0.816992,0.161385,1
0.252127,0.813355,0.133352,0.998047,0.235823,0.605359,0.537339,0.086994,0.08432,0.951543,0
0.402763,0.014285,0.581748,0.765186,0.993256,0.859471,0.946697,0.383918,0.755396,0.797832,1
0.261826,0.151047,0.214874,0.549935,0.192177,0.986866,0.94436,0.004112,0.646885,0.632748,0
0.312353,0.548713,0.378731,0.491236,0.991232,0.076243,0.111658,0.199093,0.408458,0.794976,0
0.283865,0.416031,0.944053,0.713977,0.788425,0.005313,0.150501,0.001554,0.409249,0.143363,0
0.860832,0.415104,0.509426,0.680021,0.670177,0.610323,0.066309,0.710552,0.369892,0.362113,1
0.568502,0.707636,0.606842,0.276627,0.581152,0.336094,0.05201,0.594527,0.067385,0.308424,0
0.661769,0.129824,0.561017,0.322873,0.086872,0.72531,0.173255,0.676828,0.63551,0.048294,1
0.893985,0.759703,0.766609,0.188645,0.919317,0.959208,0.060207,0.349537,0.322079,0.38346,1
0.797724,0.595467,0.860739,0.874301,0.735494,0.998886,0.975813,0.736672,0.206797,0.156602,1
0.412288,0.536651,0.9908,0.489651,0.983329,0.822194,0.337615,0.3449,0.549743,0.098129,1
0.035073,0.352991,0.561934,0.745619,0.844233,0.858279,0.163216,0.147717,0.217405,0.227318,0
0.761397,0.888844,0.08727,0.690129,0.930773,0.423278,0.881448,0.04493,0.929451,0.233752,1
0.373669,0.15157,0.136791,0.068726,0.875727,0.262408,0.158869,0.416541,0.89131,0.872921,0
0.659452,0.565494,0.13558,0.468488,0.1095,0.143232,0.898137,0.524384,0.446916,0.501463,0
0.444685,0.361181,0.005856,0.927278,0.31141,0.48403,0.417452,0.971889,0.21168,0.100167,0
0.961745,0.487436,0.5638,0.876126,0.077817,0.218161,0.697775,0.471939,0.008021,0.061771,0
0.782322,0.242199,0.794644,0.298602,0.82067,0.38131,0.763839,0.769981,0.821974,0.532058,1
0.796889,0.184628,0.159886,0.86686,0.536887,0.971164,0.481329,0.16419,0.446972,0.463669,1
0.697859,0.907922,0.46984,0.038342,0.984308,0.34612,0.432079,0.498506,0.166058,0.048581,0
0.509695,0.880819,0.278015,0.633401,0.994886,0.89166,0.61215,0.295905,0.426306,0.071165,1
0.945,0.045281,0.767072,0.399083,0.331802,0.507435,0.667705,0.548638,0.581896,0.687485,0
0.066485,0.146752,0.148443,0.557015,0.043026,0.559403,0.956777,0.198623,0.75099,0.286035,0
0.01046,0.405554,0.884093,0.817015,0.396317,0.718307,0.752702,0.321036,0.233059,0.806977,0
0.648662,0.98892,0.402725,0.280788,0.011697,0.307671,0.582937,0.208015,0.094553,0.525594,0
0.229434,0.534605,0.241541,0.27392,0.232694,0.314163,0.369914,0.625849,0.742456,0.617694,0
0.932123,0.948218,0.947167,0.584998,0.706521,0.06788,0.9339,0.239963,0.433508,0.040818,1
0.907334,0.709404,0.181992,0.176995,0.683435,0.783327,0.222529,0.815678,0.89131,0.082277,1
0.067414,0.366083,0.653398,0.067362,0.099241,0.556503,0.711286,0.604731,0.963855,0.189884,1
0.732058,0.096952,0.119733,0.861996,0.027284,0.006434,0.503689,0.976528,0.080956,0.682692,0
0.416647,0.65849,0.967176,0.663134,0.701642,0.984502,0.230723,0.685879,0.0209,0.751406,1
0.34916,0.500418,0.810941,0.966156,0.274725,0.003335,0.019949,0.601346,0.602159,0.727563,1
0.430944,0.803536,0.181013,0.441341,0.801129,0.778806,0.338504,0.903091,0.616212,0.665682,1
0.519319,0.93662,0.888575,0.720791,0.664573,0.561674,0.718226,0.02464,0.402619,0.258227,0
0.663502,0.488607,0.472942,0.904303,0.437378,0.503286,0.949028,0.792653,0.952925,0.236116,1
0.616531,0.664879,0.509325,0.848497,0.105033,0.332809,0.866406,0.830101,0.633475,0.491256,1
0.289812,0.530116,0.817452,0.827964,0.588457,0.711209,0.473171,0.611964,0.476528,0.170887,1
0.798679,0.109842,0.161988,0.119595,0.739771,0.074402,0.869708,0.015691,0.045026,0.36956,1
0.86387,0.43361,0.94415,0.999613,0.383919,0.919735,0.431952,0.500816,0.191341,0.870482,1
0.291554,0.574768,0.267482,0.614761,0.212744,0.535856,0.454337,0.956209,0.404622,0.680914,0
0.57763,0.825186,0.808405,0.636038,0.628178,0.196293,0.197621,0.41705,0.635516,0.402956,1
0.283929,0.39586,0.899701,0.47761,0.872067,0.847796,0.862427,0.920317,0.749526,0.323323,1
0.445039,0.086532,0.683855,0.756944,0.590699,0.022873,0.369403,0.171825,0.80684,0.598091,0
0.705595,0.645913,0.622088,0.028848,0.269887,0.249731,0.532645,0.839981,0.047393,0.366842,0
0.520638,0.854745,0.361151,0.913055,0.975426,0.552888,0.80205,0.393835,0.699266,0.435774,1
0.032125,0.044412,0.275249,0.893282,0.168202,0.114764,0.10336,0.192419,0.909368,0.281525,0
0.139356,0.203042,0.897254,0.852362,0.529993,0.101124,0.774638,0.985304,0.911729,0.313944,1
0.468868,0.993498,0.383528,0.587714,0.49527,0.78501,0.193627,0.719347,0.437272,0.005628,1
0.866328,0.757559,0.495718,0.487707,0.689537,0.574705,0.461898,0.037938,0.976706,0.128083,1
0.760905,0.741157,0.349867,0.391024,0.568669,0.97905,0.374368,0.491439,0.248223,0.836034,1
0.245494,0.795993,0.985932,0.799762,0.498715,0.535631,0.482127,0.555861,0.810606,0.257041,1
0.163366,0.415592,0.564786,0.311627,0.523344,0.970263,0.730464,0.727564,0.727704,0.587326,1
0.889813,0.442706,0.817787,0.576334,0.331486,0.016174,0.310276,0.096217,0.680481,0.268527,1
0.105146,0.903074,0.112313,0.360179,0.479842,0.343696,0.985759,0.233252,0.745474,0.224852,0
0.054908,0.458102,0.791671,0.516138,0.378421,0.029801,0.212322,0.356884,0.71499,0.28032,0
0.965229,0.31528,0.668054,0.889735,0.142355,0.63518,0.978321,0.249794,0.417135,0.602393,1
0.657175,0.213257,0.930356,0.68628,0.727238,0.733914,0.762094,0.194687,0.649747,0.648208,1
0.440848,0.655109,0.066718,0.478405,0.420506,0.239656,0.353264,0.557758,0.106102,0.883273,1
0.046239,0.248654,0.981933,0.450716,0.089681,0.317839,0.113214,0.785735,0.81016,0.816285,1
0.865949,0.520585,0.591749,0.182606,0.374891,0.580995,0.314825,0.494216,0.194389,0.285645,0
0.514251,0.202863,0.268566,0.224341,0.777011,0.180573,0.920202,0.990769,0.405174,0.436217,0
0.791858,0.547379,0.391372,0.197839,0.455236,0.081641,0.637574,0.993693,0.273174,0.543514,1
0.049035,0.836592,0.695888,0.055753,0.581844,0.707688,0.021572,0.170626,0.873673,0.025579,0
0.283882,0.278765,0.245784,0.228926,0.152259,0.110699,0.477095,0.205162,0.242529,0.724328,0
0.727355,0.702879,0.178193,0.5124,0.454699,0.694871,0.836184,0.027573,0.116911,0.636902,0
0.941454,0.248982,0.750946,0.627251,0.949735,0.961272,0.80137,0.762249,0.399904,0.085676,1
0.145577,0.667538,0.965352,0.405123,0.672875,0.04528,0.4885,0.703983,0.024854,0.003499,0
0.198366,0.987702,0.506899,0.517813,0.8312,0.383884,0.052736,0.466219,0.334673,0.5161,0
0.629163,0.767175,0.063245,0.925091,0.97474,0.997462,0.309649,0.636854,0.305574,0.029738,1
0.196037,0.099971,0.122952,0.367048,0.664711,0.139367,0.373376,0.291027,0.335937,0.800877,0
0.615694,0.716236,0.289276,0.013876,0.496293,0.637153,0.884485,0.190479,0.533215,0.02584,0
0.498298,0.481966,0.408553,0.371183,0.017263,0.022239,0.921124,0.030548,0.927298,0.730035,0
0.51852,0.010151,0.401678,0.595719,0.405424,0.486841,0.78968,0.124998,0.804294,0.833456,0
0.292111,0.517317,0.496333,0.546359,0.405054,0.419714,0.362272,0.108441,0.038965,0.654196,0
0.734364,0.898605,0.073416,0.377793,0.72342,0.337483,0.638324,0.619944,0.931126,0.640703,1
0.015376,0.914807,0.441334,0.832386,0.593735,0.521551,0.059006,0.573624,0.54738,0.95995,0
0.927176,0.26051,0.370671,0.586925,0.778197,0.33282,0.79078,0.082821,0.686622,0.395671,1
0.700419,0.833678,0.01586,0.972576,0.360031,0.075923,0.135385,0.856107,0.397965,0.530534,0
0.705507,0.449045,0.448592,0.436517,0.108981,0.393233,0.872379,0.91619,0.962217,0.956799,1
0.709234,0.469658,0.540006,0.477829,0.508345,0.124738,0.980912,0.69042,0.079311,0.264201,0
0.699454,0.69919,0.734016,0.59146,0.981729,0.98716,0.053023,0.985172,0.510617,0.487584,1
0.062559,0.199576,0.080631,0.933606,0.9079,0.460974,0.667874,0.692861,0.748305,0.310773,0
0.457778,0.518806,0.251427,0.067148,0.256765,0.747585,0.373311,0.772387,0.151836,0.741517,0
0.687566,0.295921,0.752305,0.057562,0.742018,0.877798,0.660033,0.354505,0.085831,0.759735,0
0.632635,0.294394,0.524055,0.116188,0.437551,0.571792,0.462229,0.290256,0.343667,0.280359,0
0.695606,0.700053,0.058248,0.791708,0.014794,0.355814,0.37773,0.868933,0.871666,0.958644,1
0.439288,0.920212,0.690744,0.837303,0.819432,0.327031,0.983005,0.261899,0.009565,0.923449,0
0.178872,0.193644,0.722248,0.828802,0.974806,0.626707,0.069193,0.920831,0.044292,0.580595,0
0.196334,0.750015,0.89925,0.708851,0.730817,0.664615,0.500911,0.011324,0.615643,0.795653,1
0.019184,0.826177,0.648335,0.075196,0.432938,0.508893,0.790192,0.722461,0.505141,0.600419,1
0.928069,0.329204,0.430782,0.587413,0.632665,0.381401,0.108604,0.910602,0.066133,0.794256,0
0.228798,0.67036,0.977187,0.873152,0.773642,0.718169,0.49423,0.586965,0.345393,0.822155,1
0.088403,0.805794,0.375828,0.112318,0.015244,0.281164,0.724326,0.214781,0.899696,0.557303,0
0.397164,0.899736,0.519881,0.310405,0.697164,0.682755,0.522293,0.792878,0.334112,0.850109,1
0.723733,0.365112,0.499159,0.971623,0.538783,0.208861,0.133633,0.132504,0.108244,0.623716,0
0.763102,0.060728,0.583037,0.583747,0.654948,0.140762,0.503527,0.529295,0.086097,0.972304,0
0.092917,0.568378,0.418102,0.275023,0.125553,0.347552,0.448384,0.098996,0.240562,0.324515,0
0.242569,0.976259,0.656458,0.341199,0.431441,0.856834,0.54403,0.156862,0.112423,0.372069,0
0.403152,0.791771,0.573026,0.864992,0.878521,0.579298,0.063891,0.365055,0.104679,0.539489,0
0.751107,0.435753,0.026036,0.872841,0.122133,0.785409,0.907679,0.701227,0.091753,0.179375,0
0.882527,0.612026,0.126927,0.908944,0.913746,0.675866,0.49727,0.227007,0.639458,0.158964,1
0.309512,0.146963,0.871691,0.356943,0.708535,0.037347,0.357247,0.472411,0.941056,0.880928,1
0.609122,0.628032,0.8111,0.541739,0.82211,0.869752,0.762357,0.89388,0.41569,0.379571,1
0.513062,0.03324,0.192105,0.483355,0.743891,0.41522,0.212158,0.519682,0.224521,0.524052,0
0.053013,0.866017,0.489409,0.767959,0.377284,0.387794,0.48854,0.124047,0.762685,0.669045,0
0.889873,0.024526,0.204405,0.292241,0.156136,0.395693,0.636645,0.565252,0.842995,0.455534,1
0.095869,0.218429,0.482275,0.745101,0.871896,0.344474,0.616568,0.228698,0.945084,0.800617,0
0.743157,0.914783,0.046325,0.089647,0.523746,0.814659,0.953602,0.374162,0.876027,0.24857,1
0.792096,0.802883,0.345345,0.019588,0.66778,0.885579,0.732082,0.807226,0.86781,0.08406,1
0.145196,0.530571,0.368739,0.672863,0.17172,0.196012,0.999371,0.70914,0.597123,0.189086,0
0.478856,0.296185,0.193282,0.20397,0.998611,0.149892,0.439956,0.983055,0.930513,0.219239,1
0.567021,0.496952,0.065209,0.643293,0.214622,0.436603,0.916746,0.069466,0.601726,0.651443,0
0.167575,0.157433,0.887009,0.00209,0.058045,0.841457,0.386691,0.889934,0.336785,0.839479,0
0.035644,0.9045,0.119031,0.362184,0.996127,0.180592,0.910496,0.037794,0.337961,0.811909,0
0.828773,0.770954,0.538353,0.804758,0.972083,0.45122,0.835387,0.520032,0.072388,0.176104,1
0.918325,0.515495,0.643458,0.658908,0.854294,0.683238,0.554246,0.958594,0.132788,0.079575,1
0.071651,0.341073,0.138805,0.296561,0.403347,0.267549,0.054188,0.697441,0.06965,0.60146,0
0.258137,0.123847,0.29265,0.011083,0.502253,0.758531,0.291244,0.781037,0.690757,0.006315,0
0.410694,0.392641,0.48312,0.499025,0.514503,0.712618,0.144654,0.154433,0.675453,0.444085,0
0.703703,0.861238,0.584502,0.843067,0.638377,0.742905,0.975561,0.636672,0.498392,0.141977,1
0.378753,0.869269,0.4619,0.400144,0.5595,0.537782,0.495833,0.342891,0.325448,0.124637,0
0.274653,0.665547,0.415982,0.33163,0.380482,0.488606,0.175151,0.241384,0.192858,0.684769,0
0.999277,0.580319,0.752988,0.11824,0.940542,0.416783,0.471919,0.449015,0.419445,0.651919,1
0.628529,0.575013,0.39065,0.646109,0.307103,0.659845,0.633783,0.649726,0.707112,0.93048,1
0.863477,0.492066,0.696378,0.361649,0.615909,0.261691,0.62948,0.944327,0.398758,0.02177,1
0.899452,0.745559,0.099627,0.601021,0.946405,0.961537,0.754409,0.619689,0.452518,0.523066,1
0.299528,0.561739,0.922959,0.576586,0.953468,0.532534,0.102134,0.108155,0.2864,0.363773,0
0.178133,0.106313,0.393818,0.96216,0.500443,0.037453,0.320727,0.72387,0.370684,0.662678,1
0.883259,0.308392,0.08954,0.534818,0.665948,0.157049,0.408253,0.113568,0.790748,0.427142,0
0.02035,0.851003,0.008411,0.057115,0.059077,0.269852,0.374476,0.959592,0.915225,0.529505,0
0.070009,0.544082,0.801417,0.47107,0.24006,0.770391,0.937199,0.156903,0.05204,0.442808,1
0.089882,0.726516,0.811763,0.316919,0.033189,0.468038,0.280803,0.541033,0.806732,0.761002,1
0.757122,0.954444,0.663913,0.117182,0.170067,0.534095,0.592686,0.516716,0.272904,0.657697,1
0.854438,0.524515,0.970147,0.070552,0.61951,0.805301,0.469595,0.610398,0.245326,0.389041,1
0.58153,0.930593,0.06463,0.835241,0.449492,0.11636,0.343142,0.496703,0.597319,0.133293,0
0.71112,0.7424,0.577466,0.465801,0.757477,0.4432,0.173123,0.076547,0.529117,0.94918,1
0.16739,0.984783,0.152111,0.373889,0.768761,0.688683,0.808133,0.693759,0.44962,0.316701,0
0.682525,0.97475,0.784163,0.170805,0.819294,0.144304,0.085176,0.706647,0.187175,0.748143,0
0.049219,0.6104,0.931727,0.768664,0.052487,0.303068,0.04087,0.551131,0.113586,0.62098,0
0.916266,0.879305,0.270707,0.376767,0.614738,0.128822,0.249011,0.971965,0.625397,0.483495,1
0.7755,0.811837,0.06811,0.396081,0.673081,0.405009,0.627908,0.431196,0.102562,0.844285,0
0.269317,0.169993,0.506408,0.164673,0.72818,0.271149,0.505101,0.230008,0.345244,0.501633,0
0.649526,0.080272,0.971676,0.848852,0.456947,0.765098,0.381014,0.55582,0.060939,0.875452,1
0.753455,0.895669,0.681128,0.092684,0.632436,0.987326,0.468515,0.343226,0.330433,0.141115,1
0.576036,0.035304,0.895611,0.912348,0.499572,0.890643,0.739976,0.806777,0.745253,0.297574,1
0.157782,0.623585,0.422528,0.715577,0.947162,0.346662,0.592785,0.255299,0.616539,0.506981,0
0.676078,0.60728,0.904294,0.635691,0.604868,0.231806,0.520193,0.106307,0.49426,0.340794,1
0.706926,0.151822,0.450978,0.957309,0.993005,0.797197,0.354708,0.819794,0.133531,0.061425,1
0.314906,0.67756,0.754074,0.059474,0.624575,0.807402,0.54116,0.569427,0.430569,0.140129,0
0.726329,0.100385,0.573651,0.850693,0.910023,0.656869,0.764429,0.987262,0.0214,0.984603,1
0.299439,0.810257,0.496581,0.20045,0.092751,0.436116,0.661496,0.855864,0.095029,0.522417,0
0.395917,0.485782,0.883448,0.147015,0.893205,0.155942,0.178538,0.474641,0.003558,0.978643,0
0.56804,0.744461,0.251592,0.125147,0.809575,0.621185,0.757718,0.7801,0.936852,0.036303,1
0.316405,0.962731,0.571639,0.930287,0.991539,0.271619,0.041216,0.168404,0.410199,0.164402,0
0.275725,0.925643,0.363656,0.452286,0.643847,0.461706,0.636253,0.752441,0.939393,0.718059,1
0.68417,0.347441,0.358955,0.37712,0.721708,0.057501,0.579656,0.637974,0.782276,0.79517,1
0.816296,0.653018,0.551215,0.10048,0.994763,0.2722,0.914756,0.620758,0.010088,0.080642,0
0.875774,0.832406,0.531429,0.649804,0.874436,0.307437,0.374258,0.380573,0.973622,0.509358,1
0.797638,0.629769,0.660372,0.094765,0.515458,0.013736,0.687176,0.919674,0.694128,0.059907,0
0.546194,0.709906,0.876915,0.047194,0.111032,0.60879,0.960099,0.389347,0.480762,0.824975,1
0.060231,0.408238,0.963416,0.424164,0.772276,0.164092,0.669355,0.978865,0.36013,0.545797,0
0.41922,0.671824,0.257635,0.650103,0.639929,0.521883,0.40194,0.674074,0.653198,0.086193,1
0.498882,0.614804,0.295157,0.323164,0.148152,0.379665,0.364703,0.221475,0.561984,0.672521,0
0.627278,0.812902,0.034512,0.953968,0.667014,0.392413,0.937925,0.793323,0.117026,0.384975,0
0.195169,0.970995,0.632311,0.562745,0.133554,0.686289,0.18339,0.833742,0.598193,0.104488,1
0.183591,0.283201,0.350916,0.284882,0.778093,0.268411,0.983862,0.838021,0.436412,0.361155,0
0.409044,0.159549,0.411901,0.87047,0.056117,0.046933,0.968882,0.703043,0.896552,0.107631,1
0.243799,0.298018,0.266627,0.033504,0.644843,0.393744,0.816804,0.68308,0.855089,0.729727,0
0.5125,0.03711,0.106851,0.052967,0.637031,0.918474,0.841934,0.608803,0.260838,0.571876,0
0.648045,0.588722,0.646656,0.036729,0.764524,0.611288,0.258908,0.47424,0.127204,0.875728,0
0.410912,0.69896,0.468722,0.725761,0.619037,0.863226,0.958406,0.47322,0.97417,0.292144,1
0.598701,0.76921,0.402584,0.395997,0.525217,0.790425,0.415302,0.004404,0.546537,0.610914,0
0.307407,0.444909,0.780601,0.332338,0.162871,0.81938,0.721748,0.510153,0.492451,0.52426,1
0.603076,0.887696,0.364373,0.984343,0.018692,0.639339,0.597052,0.854438,0.507818,0.902585,1
0.475837,0.877705,0.294188,0.783234,0.065739,0.262717,0.206395,0.183898,0.94653,0.019559,1
0.234082,0.254364,0.545532,0.187139,0.347553,0.250983,0.706008,0.409229,0.335172,0.997949,0
0.656228,0.644314,0.34486,0.102982,0.91073,0.074218,0.281752,0.447225,0.853715,0.678363,1
0.183316,0.588495,0.530784,0.603367,0.947067,0.725331,0.655295,0.326468,0.851953,0.29634,1
0.645129,0.773287,0.022092,0.833485,0.538494,0.438152,0.909301,0.071804,0.502494,0.527772,1
0.208657,0.454852,0.949234,0.549186,0.779195,0.706662,0.539875,0.933424,0.763711,0.719699,1
0.978397,0.095133,0.529733,0.111587,0.254526,0.865819,0.783506,0.425073,0.087817,0.662504,0
0.229319,0.683545,0.642834,0.031919,0.380579,0.654526,0.807752,0.790419,0.511826,0.336684,1
0.386596,0.893196,0.795136,0.680689,0.694235,0.413813,0.350806,0.556275,0.241321,0.937622,1
0.172428,0.049895,0.954741,0.162915,0.240445,0.846657,0.275074,0.207759,0.818507,0.979673,1
0.018448,0.115492,0.50643,0.08465,0.494955,0.144189,0.954608,0.310628,0.509178,0.776811,0
0.512488,0.47491,0.159011,0.749259,0.041127,0.191498,0.498173,0.488877,0.783233,0.413244,0
0.58524,0.188222,0.585867,0.760167,0.835112,0.768356,0.586843,0.633704,0.201821,0.276772,1
0.414211,0.671178,0.155856,0.528396,0.964745,0.841872,0.392366,0.734013,0.564146,0.85818,1
0.372799,0.573469,0.391429,0.133458,0.446001,0.497454,0.381547,0.606678,0.981202,0.524176,1
0.244966,0.76601,0.248132,0.402189,0.715831,0.768494,0.560291,0.048102,0.45285,0.921997,0
0.025737,0.680569,0.409993,0.440394,0.065641,0.269225,0.450878,0.775191,0.403142,0.482444,0
0.079744,0.48055,0.787506,0.288005,0.651731,0.025912,0.160434,0.309923,0.454297,0.044829,0
0.644052,0.905771,0.329277,0.237172,0.155962,0.47428,0.060947,0.317536,0.2201,0.096972,0
0.902808,0.911787,0.284336,0.268663,0.580391,0.561703,0.267195,0.36799,0.351024,0.732347,1
0.791729,0.380538,0.602704,0.221812,0.447393,0.911746,0.080364,0.718466,0.632742,0.164239,1
0.09893,0.569781,0.875078,0.509386,0.367883,0.454435,0.11482,0.707206,0.058541,0.143385,0
0.732294,0.256875,0.635695,0.425063,0.896473,0.173639,0.449242,0.159279,0.401053,0.626644,0
0.715896,0.765116,0.855337,0.571699,0.594392,0.273489,0.805499,0.588562,0.870915,0.041967,1
0.543068,0.959529,0.692869,0.291896,0.564495,0.806271,0.435744,0.44849,0.065753,0.014681,0
0.92031,0.656203,0.945456,0.929054,0.565371,0.425101,0.533052,0.196111,0.816954,0.958367,1
0.668411,0.060406,0.456272,0.010433,0.85484,0.102394,0.230744,0.255163,0.751028,0.844088,0
0.222044,0.671546,0.548077,0.549091,0.091547,0.459198,0.02339,0.959383,0.771381,0.363285,1
0.137053,0.159812,0.743012,0.361738,0.324395,0.025602,0.022699,0.783215,0.617309,0.580378,1
0.929216,0.771733,0.081977,0.709106,0.524215,0.170242,0.226242,0.468,0.525064,0.208932,1
0.758652,0.131534,0.338426,0.678899,0.735431,0.704471,0.872651,0.06325,0.989289,0.858299,1
0.045407,0.24743,0.491719,0.845533,0.606863,0.226379,0.673728,0.005662,0.656131,0.780964,0
0.533326,0.152933,0.824694,0.393971,0.198202,0.912698,0.236286,0.321781,0.215557,0.650577,0
0.423106,0.835134,0.805679,0.280001,0.176257,0.03303,0.823883,0.934188,0.561345,0.120426,1
0.642734,0.305058,0.025438,0.402705,0.715175,0.587465,0.852975,0.608484,0.122172,0.03911,0
0.540772,0.728299,0.572503,0.423664,0.620371,0.592287,0.964167,0.92095,0.315647,0.484038,1
0.364476,0.008852,0.569487,0.735201,0.453535,0.455066,0.422409,0.072034,0.437949,0.782633,0
0.233398,0.158503,0.684187,0.331638,0.141453,0.505268,0.303771,0.2748,0.397758,0.317672,0
0.169474,0.838365,0.661252,0.040407,0.906226,0.313361,0.233465,0.135398,0.212936,0.486895,0
0.145499,0.194803,0.388315,0.789165,0.253529,0.712275,0.035858,0.621206,0.631057,0.909315,0
0.965528,0.106817,0.474918,0.288157,0.250234,0.157446,0.897552,0.852534,0.177039,0.465327,0
0.517706,0.068869,0.707263,0.972966,0.897852,0.541089,0.81291,0.475645,0.680888,0.386402,1
0.764522,0.201802,0.443356,0.087709,0.655569,0.679595,0.004503,0.06032,0.330523,0.287931,1
0.199812,0.972833,0.382862,0.892428,0.029597,0.587199,0.020604,0.368655,0.970605,0.634462,1
0.035397,0.706714,0.85283,0.699606,0.755386,0.388349,0.781967,0.561313,0.194398,0.121177,0
0.899692,0.924417,0.324505,0.507112,0.316194,0.565718,0.837984,0.424119,0.137093,0.380395,0
0.20394,0.501058,0.578465,0.370447,0.656904,0.695021,0.352563,0.583406,0.932807,0.688703,1
0.633861,0.962425,0.190204,0.605445,0.603224,0.722232,0.573402,0.316239,0.959531,0.429675,1
0.451982,0.006037,0.984329,0.099657,0.689,0.438693,0.584532,0.619456,0.582401,0.567834,1
0.005819,0.872218,0.615862,0.164535,0.318365,0.572098,0.515369,0.436926,0.739584,0.43176,0
0.415456,0.61697,0.181826,0.514645,0.964363,0.952418,0.693247,0.521021,0.460429,0.475727,1
0.276403,0.576817,0.029922,0.177462,0.877179,0.542451,0.243143,0.734588,0.173148,0.616084,0
0.080008,0.832865,0.190994,0.706374,0.935338,0.51224,0.02922,0.332159,0.283495,0.696339,0
0.539108,0.7305,0.359581,0.50095,0.166032,0.640542,0.320935,0.862868,0.978754,0.470444,1
0.105921,0.207746,0.515877,0.791273,0.580648,0.814972,0.973991,0.837912,0.906565,0.219565,1
0.615139,0.368528,0.021575,0.546548,0.15563,0.172369,0.728801,0.06333,0.690579,0.087084,0
0.696802,0.669119,0.146317,0.606711,0.04724,0.567726,0.63366,0.563215,0.91523,0.980464,1
0.339587,0.383373,0.774906,0.999798,0.851587,0.127727,0.548742,0.14327,0.699077,0.876413,1
0.659057,0.996917,0.687623,0.414774,0.343904,0.768774,0.380457,0.996351,0.585986,0.632503,0
0.632721,0.283592,0.534096,0.826642,0.933521,0.457054,0.971759,0.277188,0.553067,0.025502,1
0.416127,0.961124,0.834299,0.240593,0.631942,0.35151,0.039508,0.990973,0.216684,0.006578,0
0.409408,0.049533,0.448285,0.720777,0.248119,0.651214,0.875509,0.420574,0.806753,0.674091,1
0.861783,0.267388,0.616438,0.574624,0.358201,0.446658,0.179246,0.595835,0.253525,0.098953,0
0.855093,0.818091,0.151689,0.700754,0.590596,0.841748,0.157001,0.374693,0.995983,0.495047,1
0.213773,0.655918,0.113932,0.549535,0.736784,0.097282,0.052367,0.304627,0.468051,0.50738,0
0.627727,0.728894,0.402033,0.606469,0.078439,0.844324,0.914124,0.962398,0.211847,0.633545,1
0.600477,0.197799,0.745201,0.398152,0.201692,0.200793,0.996947,0.852152,0.117578,0.465939,0
0.980321,0.152874,0.522261,0.830887,0.64628,0.934909,0.036712,0.083475,0.867555,0.698734,1
0.351053,0.601936,0.868771,0.404517,0.451786,0.225815,0.775746,0.009261,0.240075,0.395587,0
0.846204,0.042182,0.433357,0.298344,0.385247,0.673573,0.984692,0.313886,0.646967,0.366501,1
0.720239,0.611962,0.597478,0.680501,0.604585,0.69227,0.371676,0.258542,0.158519,0.428124,0
0.406228,0.61288,0.257828,0.743877,0.338074,0.25636,0.5494,0.130985,0.910113,0.779986,0
0.653407,0.871674,0.21008,0.799908,0.013516,0.952912,0.119044,0.036385,0.803594,0.025066,1
0.240609,0.558442,0.739341,0.021447,0.02537,0.896996,0.375545,0.205409,0.501619,0.197692,0
0.760749,0.86546,0.882177,0.574106,0.215768,0.775471,0.918133,0.284406,0.494916,0.307624,1
0.644108,0.536717,0.178353,0.969737,0.111341,0.817718,0.485971,0.653119,0.561008,0.593866,1
0.731285,0.201603,0.16003,0.391023,0.730758,0.007687,0.323844,0.103804,0.47189,0.357125,0
0.197289,0.554037,0.449915,0.273809,0.770562,0.996602,0.129346,0.825694,0.527191,0.253149,1
0.271586,0.965575,0.414402,0.50523,0.472484,0.983357,0.920858,0.198437,0.342195,0.713457,0
0.9935,0.850174,0.531312,0.495204,0.152271,0.796562,0.951271,0.505615,0.630609,0.896417,1
0.329034,0.601061,0.668196,0.262521,0.057391,0.675984,0.985744,0.734429,0.059638,0.878615,0
0.635363,0.964082,0.016061,0.702153,0.87566,0.64179,0.870851,0.122218,0.20208,0.836942,0
0.867844,0.611528,0.657446,0.37904,0.45167,0.166851,0.612713,0.053256,0.378915,0.468771,0
0.95942,0.314091,0.378848,0.850111,0.358541,0.648779,0.585404,0.404208,0.633733,0.889328,1
0.054949,0.757055,0.710088,0.343114,0.111531,0.115192,0.350787,0.028259,0.522153,0.006169,0
0.5063,0.073408,0.444428,0.659713,0.471996,0.432977,0.393097,0.311214,0.699802,0.766512,0
