1,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,,
2,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,,
3,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,,
4,VAR04,VAR07,VAR10,VAR11,VAR12,VAR13,VAR14,,
5,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,,,
6,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
7,VAR04,VAR11,,,,,,,
8,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
9,VAR01,VAR04,VAR08,VAR10,VAR11,VAR13,VAR14,,
10,VAR01,VAR02,VAR04,VAR10,VAR11,VAR13,,,
11,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
12,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
13,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
14,VAR01,VAR02,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,
15,VAR01,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,
16,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
17,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
18,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
19,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,,
20,VAR01,VAR03,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,
21,VAR04,VAR11,,,,,,,
22,VAR04,VAR11,,,,,,,
23,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
24,VAR04,VAR11,,,,,,,
25,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
26,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
27,VAR04,VAR11,,,,,,,
28,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,,
29,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,,
30,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
31,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
32,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
33,VAR04,VAR11,,,,,,,
34,VAR01,VAR04,VAR11,VAR12,VAR13,VAR14,,,
35,VAR04,VAR11,,,,,,,
36,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,,
37,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,,,
38,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
39,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
40,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
41,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
42,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
43,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
44,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
45,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
46,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
47,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
48,VAR01,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14
49,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
50,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
51,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
52,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
53,VAR01,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,,
54,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,,
55,VAR04,VAR11,,,,,,,
56,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
57,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
58,VAR01,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14
59,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,,
60,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
61,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
62,VAR01,VAR04,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
63,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
64,VAR01,VAR02,VAR04,VAR10,VAR11,VAR12,VAR13,VAR14,
65,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
66,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
67,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
68,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
69,VAR02,VAR04,VAR07,VAR10,VAR11,VAR12,VAR13,VAR14,
70,VAR02,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14
71,VAR04,VAR07,VAR08,VAR10,VAR11,VAR12,VAR13,VAR14,
